id,creator_id,title,description,domain,difficulty,required_hours,max_members,team_atmosphere,desired_collaboration_style
1,209,급식 리뷰 서비스 1,음악 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,음악,3,19,4,성장 중심,빠른실험형
2,7,학교 커뮤니티 앱 2,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,1,20,5,빡세게 몰입,자율형
3,74,감정 일기 앱 3,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,4,21,3,자유로운 분위기,빠른실험형
4,187,음악 추천 서비스 4,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,8,4,자유로운 분위기,소통중심형
5,218,학교 커뮤니티 앱 5,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,5,17,3,빡세게 몰입,소통중심형
6,205,스터디 매칭 서비스 6,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,23,5,안정적인 분위기,빠른실험형
7,143,환경 챌린지 앱 7,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,17,6,성장 중심,빠른실험형
8,119,환경 챌린지 앱 8,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,1,13,6,결과 중심,자율형
9,14,개발자 포트폴리오 플랫폼 9,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,1,7,6,안정적인 분위기,빠른실험형
10,50,운동 기록 앱 10,음악 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,음악,3,9,5,성장 중심,문서중심형
11,255,학교 커뮤니티 앱 11,SNS 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,SNS,4,11,5,안정적인 분위기,문서중심형
12,10,AI 팀 빌딩 서비스 12,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,15,7,성장 중심,빠른실험형
13,227,코딩 테스트 훈련 서비스 13,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,4,19,5,결과 중심,자율형
14,85,학교 커뮤니티 앱 14,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,2,22,5,안정적인 분위기,빠른실험형
15,292,학교 커뮤니티 앱 15,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,3,17,6,자유로운 분위기,문서중심형
16,288,개발자 포트폴리오 플랫폼 16,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,23,6,결과 중심,문서중심형
17,194,스터디 매칭 서비스 17,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,4,13,6,성장 중심,소통중심형
18,66,스터디 매칭 서비스 18,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,1,5,7,자유로운 분위기,소통중심형
19,50,쇼핑 가격 비교 서비스 19,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,5,5,결과 중심,소통중심형
20,126,여행 일정 플래너 20,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,4,16,3,안정적인 분위기,계획형
21,34,급식 리뷰 서비스 21,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,3,23,3,안정적인 분위기,자율형
22,20,코딩 테스트 훈련 서비스 22,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,2,5,7,친목 중심,빠른실험형
23,241,학습 관리 플랫폼 23,음악 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,음악,5,18,5,자유로운 분위기,소통중심형
24,51,학교 커뮤니티 앱 24,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,5,17,5,성장 중심,자율형
25,174,개발자 포트폴리오 플랫폼 25,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,2,15,6,성장 중심,문서중심형
26,39,음악 추천 서비스 26,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,3,18,4,결과 중심,소통중심형
27,116,운동 기록 앱 27,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,1,14,7,결과 중심,문서중심형
28,291,학교 커뮤니티 앱 28,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,5,15,5,자유로운 분위기,빠른실험형
29,154,쇼핑 가격 비교 서비스 29,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,3,7,5,성장 중심,문서중심형
30,264,코딩 테스트 훈련 서비스 30,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,2,18,6,친목 중심,문서중심형
31,296,학교 커뮤니티 앱 31,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,1,25,7,빡세게 몰입,계획형
32,223,AI 팀 빌딩 서비스 32,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,4,13,7,성장 중심,문서중심형
33,78,급식 리뷰 서비스 33,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,3,19,4,빡세게 몰입,빠른실험형
34,137,급식 리뷰 서비스 34,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,3,7,4,결과 중심,계획형
35,59,환경 챌린지 앱 35,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,12,6,빡세게 몰입,계획형
36,287,쇼핑 가격 비교 서비스 36,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,2,14,6,결과 중심,빠른실험형
37,70,학습 관리 플랫폼 37,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,1,11,4,친목 중심,소통중심형
38,249,학습 관리 플랫폼 38,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,10,3,안정적인 분위기,자율형
39,209,스터디 매칭 서비스 39,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,3,24,5,자유로운 분위기,자율형
40,257,중고거래 분석 서비스 40,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,2,12,3,성장 중심,문서중심형
41,47,여행 일정 플래너 41,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,21,5,결과 중심,문서중심형
42,200,여행 일정 플래너 42,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,3,15,7,안정적인 분위기,빠른실험형
43,141,코딩 테스트 훈련 서비스 43,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,2,8,4,빡세게 몰입,빠른실험형
44,192,중고거래 분석 서비스 44,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,6,6,성장 중심,소통중심형
45,75,스터디 매칭 서비스 45,여행 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,여행,4,20,4,친목 중심,빠른실험형
46,18,AI 팀 빌딩 서비스 46,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,3,14,3,안정적인 분위기,계획형
47,186,중고거래 분석 서비스 47,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,5,17,5,안정적인 분위기,문서중심형
48,131,급식 리뷰 서비스 48,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,4,17,3,결과 중심,자율형
49,163,쇼핑 가격 비교 서비스 49,게임 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,게임,3,11,4,결과 중심,자율형
50,212,일정 자동화 도구 50,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,1,20,6,안정적인 분위기,빠른실험형
51,181,쇼핑 가격 비교 서비스 51,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,2,13,7,자유로운 분위기,문서중심형
52,15,AI 팀 빌딩 서비스 52,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,15,6,안정적인 분위기,계획형
53,206,음악 추천 서비스 53,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,4,25,4,자유로운 분위기,소통중심형
54,128,환경 챌린지 앱 54,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,5,7,3,빡세게 몰입,문서중심형
55,69,보안 로그 분석기 55,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,4,15,6,결과 중심,계획형
56,44,쇼핑 가격 비교 서비스 56,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,15,5,빡세게 몰입,소통중심형
57,11,학습 관리 플랫폼 57,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,4,17,7,빡세게 몰입,문서중심형
58,237,음악 추천 서비스 58,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,25,4,자유로운 분위기,소통중심형
59,220,보안 로그 분석기 59,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,2,6,6,성장 중심,계획형
60,8,쇼핑 가격 비교 서비스 60,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,3,10,7,자유로운 분위기,빠른실험형
61,105,음악 추천 서비스 61,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,4,8,4,안정적인 분위기,소통중심형
62,106,음악 추천 서비스 62,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,4,17,4,결과 중심,소통중심형
63,75,학습 관리 플랫폼 63,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,2,18,4,결과 중심,소통중심형
64,190,코딩 테스트 훈련 서비스 64,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,2,24,6,빡세게 몰입,자율형
65,204,음악 추천 서비스 65,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,4,9,5,안정적인 분위기,빠른실험형
66,49,AI 팀 빌딩 서비스 66,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,4,24,5,자유로운 분위기,자율형
67,24,학습 관리 플랫폼 67,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,2,20,5,성장 중심,소통중심형
68,190,환경 챌린지 앱 68,여행 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,여행,5,17,5,결과 중심,문서중심형
69,258,학교 커뮤니티 앱 69,교육 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,교육,5,10,5,빡세게 몰입,소통중심형
70,272,쇼핑 가격 비교 서비스 70,SNS 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,SNS,2,7,5,안정적인 분위기,계획형
71,256,보안 로그 분석기 71,금융 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,금융,1,15,3,빡세게 몰입,소통중심형
72,265,일정 자동화 도구 72,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,3,13,7,친목 중심,빠른실험형
73,226,AI 팀 빌딩 서비스 73,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,3,20,4,성장 중심,계획형
74,241,보안 로그 분석기 74,커머스 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,커머스,1,12,4,자유로운 분위기,계획형
75,21,코딩 테스트 훈련 서비스 75,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,4,18,3,결과 중심,소통중심형
76,58,환경 챌린지 앱 76,보안 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,보안,5,20,6,결과 중심,자율형
77,87,보안 로그 분석기 77,환경 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,환경,1,11,5,빡세게 몰입,문서중심형
78,270,개발자 포트폴리오 플랫폼 78,AI 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,AI,5,11,7,자유로운 분위기,빠른실험형
79,14,급식 리뷰 서비스 79,헬스케어 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,헬스케어,2,20,3,친목 중심,자율형
80,79,학습 관리 플랫폼 80,생산성 분야 문제를 해결하기 위한 웹/AI 프로젝트입니다.,생산성,3,23,3,친목 중심,자율형
